slot,focus_effect,item,item_url,slot_raw,classes,ac,hp,mana,weight,size,era,flags,stats,saves
Primary,Brass Resonance 12,Efreeti War Horn,https://eqlwiki.com/Efreeti_War_Horn,PRIMARY,Bard,,,,5.0,MEDIUM,Sky Era,MAGIC ITEM|LORE ITEM,,
Primary,Brass Resonance 12,Verlekarnorm's Horn of Disaster,https://eqlwiki.com/Verlekarnorm's_Horn_of_Disaster,PRIMARY,Bard,50,,,5.0,TINY,Velious Era,MAGIC ITEM|LORE ITEM|NO DROP,STA+25,
Primary,Brass Resonance 14,McVaxius` Horn of War,https://eqlwiki.com/McVaxius`_Horn_of_War,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.6,SMALL,,MAGIC ITEM|LORE ITEM,CHA+15 DEX+9 INT+9,
Primary,Brass Resonance 15,Denon's Horn of Disaster,https://eqlwiki.com/Denon's_Horn_of_Disaster,PRIMARY,Bard,,50,,2.0,MEDIUM,Sky Era,MAGIC ITEM|LORE ITEM|NO DROP,CHA+10 INT+5 STR+5,
Primary,Burning Affliction II,Black Tome with Silver Runes,https://eqlwiki.com/Black_Tome_with_Silver_Runes,PRIMARY,Necromancer|Wizard|Magician|Enchanter,,,30,0.0,TINY,Classic Era,MAGIC ITEM,INT+4,
Primary,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,RANGE PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,20,20,2.5,TINY,Classic Era,MAGIC ITEM|LORE ITEM,STR+3,
Primary,Minion of Air,Broom of Trilon,https://eqlwiki.com/Broom_of_Trilon,PRIMARY,Magician,,,,3.5,LARGE,Temple Era,MAGIC ITEM|LORE ITEM|NO DROP,AGI+3 INT+2,
Primary,Minion of Earth,Shovel of Ponz,https://eqlwiki.com/Shovel_of_Ponz,PRIMARY,Magician,,,,3.5,LARGE,Temple Era,MAGIC ITEM|LORE ITEM|NO DROP,INT+2 STR+3,
Primary,Minion of Fire,Torch of Alna,https://eqlwiki.com/Torch_of_Alna,PRIMARY,Magician,,,,3.5,LARGE,Temple Era,MAGIC ITEM|LORE ITEM|NO DROP,INT+2,FIRE+5
Primary,Minion of Hate,Encyclopedia Necrotheurgia,https://eqlwiki.com/Encyclopedia_Necrotheurgia,PRIMARY SECONDARY,Necromancer,,,,2.0,MEDIUM,,MAGIC ITEM|LORE ITEM|NO DROP,,
Primary,Minion of Water,Stein of Ulissa,https://eqlwiki.com/Stein_of_Ulissa,PRIMARY,Magician,,,,3.5,LARGE,Temple Era,MAGIC ITEM|LORE ITEM|NO DROP,INT+2,COLD+5
Primary,Percussion Resonance 11,Mistmoore Battle Drums,https://eqlwiki.com/Mistmoore_Battle_Drums,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.5,SMALL,,ATTUNEABLE|PLACEABLE,,
Primary,Percussion Resonance 14,Selo`s Drums of the March,https://eqlwiki.com/Selo`s_Drums_of_the_March,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.5,SMALL,,MAGIC ITEM,,
Primary,Percussion Resonance 16,Drums of the Beast,https://eqlwiki.com/Drums_of_the_Beast,PRIMARY,Bard,,,,1.0,MEDIUM,Velious Era,MAGIC ITEM|LORE ITEM,,
Primary,Reagent Conservation I,The Artist's Brush,https://eqlwiki.com/The_Artist's_Brush,RANGE PRIMARY SECONDARY,Necromancer|Wizard|Magician|Enchanter,,,10,0.5,SMALL,,,DEX+3 INT+3,
Primary,Servant of Air,Staff of Elemental Mastery: Air,https://eqlwiki.com/Staff_of_Elemental_Mastery:_Air,PRIMARY,Magician,,,,5.0,LARGE,Sky Era,MAGIC ITEM|LORE ITEM|NO DROP,,
Primary,Servant of Earth,Staff of Elemental Mastery: Earth,https://eqlwiki.com/Staff_of_Elemental_Mastery:_Earth,PRIMARY,Magician,,,,5.0,LARGE,,MAGIC ITEM|LORE ITEM|NO DROP,,
Primary,Servant of Fire,Staff of Elemental Mastery: Fire,https://eqlwiki.com/Staff_of_Elemental_Mastery:_Fire,PRIMARY,Magician,,,,5.0,LARGE,,MAGIC ITEM|LORE ITEM|NO DROP,,
Primary,Servant of Water,Staff of Elemental Mastery: Water,https://eqlwiki.com/Staff_of_Elemental_Mastery:_Water,PRIMARY,Magician,,,,5.0,LARGE,,,,
Primary,String Resonance 11,Gypsy Lute,https://eqlwiki.com/Gypsy_Lute,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.7,SMALL,,,,MAGIC+5
Primary,String Resonance 11,Lute of the Gypsy Princess,https://eqlwiki.com/Lute_of_the_Gypsy_Princess,Primary Secondary,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.8,SMALL,,ATTUNABLE|PLACEABLE,,
Primary,String Resonance 12,Lute of the Howler,https://eqlwiki.com/Lute_of_the_Howler,PRIMARY,Bard,,,,0.5,SMALL,Velious Era,MAGIC ITEM,,
Primary,String Resonance 15,Lyran's Mystical Lute,https://eqlwiki.com/Lyran's_Mystical_Lute,PRIMARY SECONDARY,Bard,,,,2.0,MEDIUM,Kunark Era,MAGIC ITEM|LORE ITEM|NO DROP,CHA+15 DEX+10 INT+10 STR+10,
Primary,Wind Resonance 0,Crude Wooden Flute,https://eqlwiki.com/Crude_Wooden_Flute,PRIMARY,Bard,,,,0.1,SMALL,Sky Era,LORE ITEM|NO DROP,,
Primary,Wind Resonance 10,Minotaur Horn,https://eqlwiki.com/Minotaur_Horn,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.1,SMALL,Classic Era,,,
Primary,Wind Resonance 12,Agilmente's Flute of Flight,https://eqlwiki.com/Agilmente's_Flute_of_Flight,PRIMARY,Bard,,,,0.1,TINY,Sky Era,MAGIC ITEM|LORE ITEM|NO DROP,INT+2 STR+4,
Primary,Wind Resonance 12,Ervaj's Flute of Flight,https://eqlwiki.com/Ervaj's_Flute_of_Flight,PRIMARY,Bard,,,,0.1,TINY,Classic Era,MAGIC ITEM|LORE ITEM|NO DROP,CHA+10 INT+5 STA+10 STR+8,
Range,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,RANGE PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,20,20,2.5,TINY,Classic Era,MAGIC ITEM|LORE ITEM,STR+3,
Range,Reagent Conservation I,The Artist's Brush,https://eqlwiki.com/The_Artist's_Brush,RANGE PRIMARY SECONDARY,Necromancer|Wizard|Magician|Enchanter,,,10,0.5,SMALL,,,DEX+3 INT+3,
Secondary,Brass Resonance 10,Horn,https://eqlwiki.com/Horn,SECONDARY,Bard,,,,0.6,SMALL,,,,
Secondary,Brass Resonance 11,Conch Shell Horn,https://eqlwiki.com/Conch_Shell_Horn,SECONDARY,Bard,,,,4.5,SMALL,Velious Era,MAGIC ITEM,,
Secondary,Brass Resonance 14,Immaculate Shell Horn,https://eqlwiki.com/Immaculate_Shell_Horn,SECONDARY,Bard,,,,4.5,SMALL,Velious Era,MAGIC ITEM|LORE ITEM,CHA+15 STR-8,
Secondary,Brass Resonance 14,McVaxius` Horn of War,https://eqlwiki.com/McVaxius`_Horn_of_War,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.6,SMALL,,MAGIC ITEM|LORE ITEM,CHA+15 DEX+9 INT+9,
Secondary,Brass Resonance 8,Alluring Horn,https://eqlwiki.com/Alluring_Horn,SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,1.0,MEDIUM,EpicQuests Era,MAGIC ITEM|LORE ITEM|NO DROP,,
Secondary,Extended Enhancement III,Rokyls Channelling Crystal,https://eqlwiki.com/Rokyls_Channelling_Crystal,SECONDARY,Bard|Necromancer|Wizard|Magician|Enchanter,10,50,50,0.2,TINY,,MAGIC ITEM|LORE ITEM,,
Secondary,Improved Damage I,Spiked Buckler,https://eqlwiki.com/Spiked_Buckler,SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Bard|Rogue|Shaman,10,,,8.0,SMALL,Classic Era,,DEX+2,COLD+5 FIRE+5
Secondary,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,RANGE PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,20,20,2.5,TINY,Classic Era,MAGIC ITEM|LORE ITEM,STR+3,
Secondary,Mana Preservation I,Testament of Vanear,https://eqlwiki.com/Testament_of_Vanear,SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,10,2.0,SMALL,,MAGIC ITEM|LORE ITEM|NO DROP,WIS+10,
Secondary,Mana Preservation II,Nisch Mas Ilkvel,https://eqlwiki.com/Nisch_Mas_Ilkvel,SECONDARY,Cleric|Druid|Shaman,10,,15,7.0,MEDIUM,Classic Era,ATTUNABLE|EQUIPPED|LORE,STA+6 WIS+6,DISEASE+12
Secondary,Minion of Hate,Encyclopedia Necrotheurgia,https://eqlwiki.com/Encyclopedia_Necrotheurgia,PRIMARY SECONDARY,Necromancer,,,,2.0,MEDIUM,,MAGIC ITEM|LORE ITEM|NO DROP,,
Secondary,Percussion Resonance 11,Mahlin's Mystical Bongos,https://eqlwiki.com/Mahlin's_Mystical_Bongos,SECONDARY,Bard,,,,0.5,SMALL,EpicQuests Era,MAGIC ITEM|LORE ITEM,,
Secondary,Percussion Resonance 11,Mistmoore Battle Drums,https://eqlwiki.com/Mistmoore_Battle_Drums,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.5,SMALL,,ATTUNEABLE|PLACEABLE,,
Secondary,Percussion Resonance 12,Nostrolo Tambourine,https://eqlwiki.com/Nostrolo_Tambourine,SECONDARY,Bard,,,,0.5,SMALL,Kunark Era,MAGIC ITEM|LORE ITEM|NO TRADE,INT+5,
Secondary,Percussion Resonance 12,Sharkskin Drum,https://eqlwiki.com/Sharkskin_Drum,SECONDARY,Bard,,,,0.8,SMALL,,MAGIC ITEM,,
Secondary,Percussion Resonance 13,Walrus Skin Drum,https://eqlwiki.com/Walrus_Skin_Drum,SECONDARY,Bard,,,,0.5,SMALL,Velious Era,MAGIC ITEM|LORE ITEM,,
Secondary,Percussion Resonance 14,Selo`s Drums of the March,https://eqlwiki.com/Selo`s_Drums_of_the_March,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.5,SMALL,,MAGIC ITEM,,
Secondary,Percussion Resonance 8,Hand Drum,https://eqlwiki.com/Hand_Drum,SECONDARY,Bard,,,,0.5,SMALL,,,,
Secondary,Reagent Conservation I,The Artist's Brush,https://eqlwiki.com/The_Artist's_Brush,RANGE PRIMARY SECONDARY,Necromancer|Wizard|Magician|Enchanter,,,10,0.5,SMALL,,,DEX+3 INT+3,
Secondary,String Resonance 10,Lute,https://eqlwiki.com/Lute,SECONDARY,Bard,,,,0.8,SMALL,,,,
Secondary,String Resonance 10,Mandolin,https://eqlwiki.com/Mandolin,SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.0,TINY,Classic Era,,,
Secondary,String Resonance 11,Gypsy Lute,https://eqlwiki.com/Gypsy_Lute,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.7,SMALL,,,,MAGIC+5
Secondary,String Resonance 11,Lute of the Gypsy Princess,https://eqlwiki.com/Lute_of_the_Gypsy_Princess,Primary Secondary,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.8,SMALL,,ATTUNABLE|PLACEABLE,,
Secondary,String Resonance 11,Mystical Lute,https://eqlwiki.com/Mystical_Lute,SECONDARY,Bard,,,,0.8,SMALL,EpicQuests Era,MAGIC ITEM|LORE ITEM,,
Secondary,String Resonance 14,Kelin`s Seven Stringed Lute,https://eqlwiki.com/Kelin`s_Seven_Stringed_Lute,SECONDARY,Bard,,,,0.6,SMALL,,MAGIC ITEM|LORE ITEM|NO DROP,AGI+9 CHA+15 DEX+9,
Secondary,String Resonance 14,Lyendlln's Lute,https://eqlwiki.com/Lyendlln's_Lute,SECONDARY,Bard,10,25,,5.0,MEDIUM,Velious Era,MAGIC ITEM|LORE ITEM,,
Secondary,String Resonance 15,Lyran's Mystical Lute,https://eqlwiki.com/Lyran's_Mystical_Lute,PRIMARY SECONDARY,Bard,,,,2.0,MEDIUM,Kunark Era,MAGIC ITEM|LORE ITEM|NO DROP,CHA+15 DEX+10 INT+10 STR+10,
Secondary,Summoning Haste I,A Shimmering Orb,https://eqlwiki.com/A_Shimmering_Orb,SECONDARY,Bard|Necromancer|Wizard|Magician|Enchanter,15,20,,0.2,TINY,Classic Era,MAGIC ITEM|LORE ITEM,,
Secondary,Wind Resonance 0,Broken Minotaur Lord's Horn,https://eqlwiki.com/Broken_Minotaur_Lord's_Horn,SECONDARY,Bard,,,,2.7,SMALL,,LORE ITEM|NO DROP,,POISON+10
Secondary,Wind Resonance 0,Lianna's Flute,https://eqlwiki.com/Lianna's_Flute,SECONDARY,Bard,,,,0.5,TINY,Temple Era,LORE ITEM|NO DROP,,
Secondary,Wind Resonance 10,Minotaur Horn,https://eqlwiki.com/Minotaur_Horn,PRIMARY SECONDARY,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.1,SMALL,Classic Era,,,
Secondary,Wind Resonance 10,Scorpion Pincer,https://eqlwiki.com/Scorpion_Pincer,SECONDARY,Bard,,,,0.1,SMALL,,QUEST ITEM,,
Secondary,Wind Resonance 11,Brahhms Horn,https://eqlwiki.com/Brahhms_Horn,SECONDARY,Bard,,,,0.1,SMALL,Classic Era,,,
Secondary,Wind Resonance 11,Faun Flute,https://eqlwiki.com/Faun_Flute,SECONDARY,Bard,,,,1.5,SMALL,,MAGIC ITEM,CHA+6,
Secondary,Wind Resonance 12,Unicorn Horn,https://eqlwiki.com/Unicorn_Horn,SECONDARY,Bard,,,,0.1,SMALL,Classic Era,MAGIC ITEM,,
Secondary,Wind Resonance 14,Lyssa`s Darkwood Piccolo,https://eqlwiki.com/Lyssa`s_Darkwood_Piccolo,SECONDARY,Bard,,,,0.5,TINY,,MAGIC ITEM,,
Secondary,Wind Resonance 15,Flute of the Sacred Glade,https://eqlwiki.com/Flute_of_the_Sacred_Glade,SECONDARY,Bard,,,,1.5,SMALL,Velious Era,MAGIC ITEM|LORE ITEM,CHA+8 WIS+4,DISEASE+10
Secondary,Wind Resonance 8,Wooden Flute,https://eqlwiki.com/Wooden_Flute,SECONDARY,Bard,,,,0.5,TINY,,,,
Shoulders,Affliction Efficiency II,Squallsurge Shawl,https://eqlwiki.com/Squallsurge_Shawl,SHOULDERS,Necromancer|Wizard|Magician|Enchanter,5,,50,0.3,SMALL,,MAGIC ITEM,STA+5,
Shoulders,Enhancement Haste I,Braided Ivy Cords,https://eqlwiki.com/Braided_Ivy_Cords,SHOULDERS,Druid|Bard|Enchanter,4,,,0.3,SMALL,Classic Era,MAGIC ITEM,WIS+5,
Shoulders,Spell Haste I,Gilded Cloth,https://eqlwiki.com/Gilded_Cloth,SHOULDERS,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,3,,,0.3,SMALL,,MAGIC ITEM,AGI+9 STR+5,
Shoulders,Tavee's Charm of Diuturnity,Summoned: Tavee's Leather Mantle,https://eqlwiki.com/Summoned:_Tavee's_Leather_Mantle,SHOULDER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,10,10,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Shoulders,Tavee's Greater Diuturnity,Summoned: Tavee's Silken Mantle,https://eqlwiki.com/Summoned:_Tavee's_Silken_Mantle,SHOULDER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,9,20,20,0.1,TINY,Kunark Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Shoulders,Tavee's Lesser Diuturnity,Summoned: Tavee's Linen Mantle,https://eqlwiki.com/Summoned:_Tavee's_Linen_Mantle,SHOULDER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,3,5,5,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Shoulders,Tavee's Superior Diuturnity,Summoned: Tavee's Runed Mantle,https://eqlwiki.com/Summoned:_Tavee's_Runed_Mantle,SHOULDER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,9,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Waist,Burning Affliction II,Reed Belt,https://eqlwiki.com/Reed_Belt,WAIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,6,10,,0.8,SMALL,Classic Era,MAGIC ITEM,WIS+5,
Waist,Burning Affliction III,Bone-Clasped Girdle,https://eqlwiki.com/Bone-Clasped_Girdle,WAIST,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,4,75,75,0.1,SMALL,Classic Era,MAGIC ITEM,DEX+7 STA+7 STR+7,
Waist,Extended Enhancement II,Drakescale Belt,https://eqlwiki.com/Drakescale_Belt,WAIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,1.0,SMALL,Classic Era,,DEX+3,FIRE+10
Waist,Extended Range III,Cryosilk Sash,https://eqlwiki.com/Cryosilk_Sash,WAIST,Necromancer|Wizard|Magician|Enchanter,4,,10,0.2,SMALL,Fear Era,MAGIC ITEM|NO DROP,INT+1 STR+2,MAGIC+10
Waist,Reanimation Haste III,Grotesque Girdle,https://eqlwiki.com/Grotesque_Girdle,WAIST,Cleric|Druid|Shaman|Necromancer|Wizard|Magician|Enchanter,8,100,100,0.0,SMALL,FearHateRevamp Era,MAGIC ITEM|LORE ITEM|NO DROP,INT+10 WIS+10,
Waist,Summoning Haste III,Brell's Girdle,https://eqlwiki.com/Brell's_Girdle,WAIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,10,,50,0.1,SMALL,Classic Era,MAGIC ITEM|LORE ITEM,AGI-5 DEX-5 STA+10 STR+10,
Wrist,Affliction Efficiency I,Polished Bone Bracelet,https://eqlwiki.com/Polished_Bone_Bracelet,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,,,0.4,TINY,Classic Era,MAGIC ITEM,INT+3 WIS+3,
Wrist,Affliction Efficiency II,Chipped Bone Bracelet,https://eqlwiki.com/Chipped_Bone_Bracelet,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,2.0,SMALL,Classic Era,MAGIC ITEM,WIS+5,
Wrist,Affliction Haste I,Granite Bracer,https://eqlwiki.com/Granite_Bracer,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,0.8,SMALL,,MAGIC ITEM,STA+7 STR+4,
Wrist,Burning Affliction I,Summoned: Rallican's Wooden Bracelet,https://eqlwiki.com/Summoned:_Rallican's_Wooden_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,4,5,5,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Burning Affliction II,Serpentine Bracer,https://eqlwiki.com/Serpentine_Bracer,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,1,,,0.8,SMALL,Classic Era,MAGIC ITEM,AGI+9 DEX+3,
Wrist,Burning Affliction II,Summoned: Rallican's Stone Bracelet,https://eqlwiki.com/Summoned:_Rallican's_Stone_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,10,10,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Burning Affliction III,Summoned: Rallican's Iron Bracelet,https://eqlwiki.com/Summoned:_Rallican's_Iron_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,Kunark Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Burning Affliction IV,Summoned: Rallican's Steel Bracelet,https://eqlwiki.com/Summoned:_Rallican's_Steel_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Gallenite's Chaos,Summoned: Gallenite's Sapphire Bracelet,https://eqlwiki.com/Summoned:_Gallenite's_Sapphire_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Gallenite's Destruction,Summoned: Gallenite's Opal Bracelet,https://eqlwiki.com/Summoned:_Gallenite's_Opal_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,10,10,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Gallenite's Major Destruction,Summoned: Gallenite's Ruby Bracelet,https://eqlwiki.com/Summoned:_Gallenite's_Ruby_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,Kunark Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Gallenite's Minor Destruction,Summoned: Gallenite's Jade Bracelet,https://eqlwiki.com/Summoned:_Gallenite's_Jade_Bracelet,WRIST,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,4,5,5,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Wrist,Reagent Conservation I,Happy Love Bracers,https://eqlwiki.com/Happy_Love_Bracers,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,1,,,4.0,SMALL,,LORE ITEM|NO DROP,,
Wrist,Reagent Conservation II,Amethyst Bracelet,https://eqlwiki.com/Amethyst_Bracelet,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,15,,0.8,SMALL,,MAGIC ITEM,WIS+3,
Wrist,Reagent Conservation III,Runed Mithril Bracer,https://eqlwiki.com/Runed_Mithril_Bracer,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,2.3,SMALL,Classic Era,MAGIC ITEM,STR+3 WIS+5,
Wrist,Reanimation Haste I,Ivory Bracelet,https://eqlwiki.com/Ivory_Bracelet,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,20,0.2,TINY,Classic Era,MAGIC ITEM,AGI+3,
Wrist,Spell Haste I,Bracelet of Woven Grass,https://eqlwiki.com/Bracelet_of_Woven_Grass,WRIST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,1,12,,0.2,TINY,,MAGIC ITEM,INT+3,
